#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
d	7	369	SAEfg03	Flow rate, gaseous	1/16384 kg/s per bit	0 to 3.921813965 kg/s	0	2 bytes	8/9/2012
d	7	372	SAEfg04	Flow rate, gaseous	1/1024 kg/s per bit	0 to 62.74902344 kg/s	0	2 bytes	8/9/2012
d	3	419	SAEfg05	Flow rate, gaseous	0.001 kg/h per bit	0 to 4,211,081.215 kg/h	0	4 bytes	5/7/2015
d	4	389	SAEfi01	Fuel Injection Quantity	1/256 mg/stroke per bit	-125 to 125.9961 mg/stroke	-125 mg/stroke	2 bytes	5/16/2013
d	4	400	SAEfi02	Fuel Injection Quantity	0.03125 mg/stroke per bit	0 to 2007.96875 mg/stroke	0	2 bytes	12/11/2013
d	2	42	SAEfl01	Flow rate, liquid	0.05 l/h per bit	0 to 3,212.75 l/h	0	2 bytes	8/4/2016
d	3	321	SAEfl02	Flow rate, liquid	0.001 l/h per bit	0 to 4,211,081.215 l/h	0	4 bytes	8/4/2016
d	2	350	SAEfl03	Flow rate, liquid	0.05 l/h per bit	-1600 to 1612.75 l/h	-1600 l/h	2 bytes	8/4/2016
d	1	434	SAEfl04	Flow rate, liquid	0.5 l/min per bit	0 to 32,127.5 l/min	0	2 bytes	11/17/2016
int	u	215	SAEfm00	FMI	1	0 to 31	0	5 bits	
d	1	272	SAEfm01	Flow rate, mass	0.3 g/h per bit	0 to 19276.5 g/h	0	2 bytes	8/15/2007
d	2	317	SAEfm02	Flow rate, mass	0.05 g/min per bit	0 to 3212.75 g/min	0	2 bytes	5/21/2009
d	3	336	SAEfm03	Flow rate, mass	0.005 g/s per bit	0 to 321.275 g/s	0	2 bytes	2/6/2011
d	1	360	SAEfm04	Flow rate, mass	0.1 kg/h per bit	-3212.7 to 3212.8 kg/h	-3212.7 kg/h	2 bytes	8/9/2012
int	d	361	SAEfm05	Flow rate, mass	1 kg/h per bit	-32127 to 32128 kg/h	-32127 kg/h	2 bytes	8/9/2012
d	1	388	SAEfm06	Flow rate, mass	0.1 kg/min	-200 to 6225.5 kg/min	-200 kg/min	2 bytes	5/16/2013
d	2	396	SAEfm07	Flow rate, mass	0.02 g/s per bit	0 to 1285.1 g/s	0	2 bytes	11/14/2013
d	1	397	SAEfm08	Flow rate, mass	0.2 kg/h per bit	0 to 12851 kg/h	0	2 bytes	8/15/2013
d	7	144	SAEfq01	Frequency	1/128 Hz/bit	0 to 501.9921875 Hz	0	2 bytes	11/9/2000
d	1	320	SAEfq02	Frequency	0.1 MHz/bit	0 to 6425.5 MHz	0	2 bytes	2/18/2010
int	u	425	SAEfq03	Frequency	1 Hz/bit	0 to 250 Hz	0	1 byte	5/5/2016
int	u	426	SAEfqr01	Frequency Rate	2 Hz/s per bit	0 to 500 Hz/s	0	1 byte	5/5/2016
int	u	43	SAEfr01	Force	5 N/bit	0 to 321,275 N	0	2 bytes	
int	d	127	SAEfr02	Force	10 N/bit	-320,000 to 322,550 N	-320,000 N	2 bytes	8/10/2000
int	d	135	SAEfr03	Force	1000 N/bit	-100 to 150 kN	-100 kN	1 byte	8/10/2000
int	u	433	SAEfr04	Force	5 kN/bit	0 to 321,275 kN	0	2 bytes	11/17/2016
d	1	21	SAEfug01	Fuel Used, gaseous	0.5 kg/bit	0 to 2,105,540,607.5 kg	0	4 bytes	
d	1	20	SAEful01	Fuel Used, liquid	0.5 l/bit	0 to 2,105,540,607.5 l	0	4 bytes	8/4/2016
