#type	format	SLOT Identifier	SLOT Name	SLOT Type	Scaling	Range	Offset	Length	Date Created or Last Modified
int	u	98	SAEtq03	Torque	2 Nm/bit	0 to 128,510 Nm	0	2 bytes	7/29/1999
int	u	137	SAEtq04	Torque	30 Nm/bit	0 to 7500 Nm	0	1 byte	8/10/2000
d	1	452	SAEtq05	Torque	0.5 Nm/bit	0 to 32,127.5 Nm	0	2 bytes	5/31/2018
d	2	114	SAEva01	Velocity, angular	1/8192 rad/s per bit	-3.92 to 3.92 rad/s	-3.92 rad/s	2 bytes	5/11/2000
d	3	243	SAEva02	Velocity, angular	0.002 deg/s per bit	-64 to 64.51 deg/s	-64 deg/s	2 bytes	5/18/2004
d	4	288	SAEva03	Velocity, angular	1/128 deg/s per bit	-250 to 250.992 deg/s	-250 deg/s	2 bytes	11/15/2007
#		134	SAEvd01	VariantData	Variant Determined	Variant Determined	Variant Determined	4 bytes	8/10/2000
#		456	SAEvd02	VariantData	Variant Determined	Variant Determined	Variant Determined	2 bytes	8/17/2018
d	3	125	SAEvl01	Velocity, linear	0.001 m/s per bit	0 to 64.255 m/s	0	2 bytes	8/10/2000
d	4	71	SAEvl02	Velocity, linear	1/256 km/h per bit	0 to 250.996 km/h	0	2 bytes	8/4/2016
d	4	72	SAEvl03	Velocity, linear	1/128 km/h per bit	-250 to 251.992 km/h	-250 km/h	2 bytes	8/4/2016
d	4	74	SAEvl04	Velocity, linear	1/16 km/h per bit	-7.8125 to 7.8125 km/h	-7.8125 km/h	1 byte	8/4/2016
int	u	73	SAEvl05	Velocity, linear	1 km/h per bit	0 to 250 km/h	0	1 byte	8/4/2016
d	4	399	SAEvl06	Velocity, linear	1/256 km/h per bit	-125 to 125.996 km/h	-125 km/h	2 bytes	8/4/2016
d	1	401	SAEvl07	Velocity, linear	0.1 m/s per bit	0 to 6425.5 m/s	0	2 bytes	2/20/2014
d	3	405	SAEvl08	Velocity, linear	0.125 km/h per bit	0 to 31.25 km/h	0	1 byte	8/4/2016
d	3	406	SAEvl09	Velocity, linear	0.125 km/h per bit	-31.25 to 0 km/h	-31.25 km/h	1 byte	8/4/2016
int	u	219	SAEvm01	Velocity, magnitude	2 m/h per bit	0 to 128510 m/h	0	2 bytes	5/15/2002
d	1	75	SAEvm1	Volume	0.5 l/bit	0 to 2,105,540,607.5 l	0	4 bytes	8/4/2016
d	1	222	SAEvm2	Volume	0.5 l/bit	0 to 32,127.5 l	0	2 bytes	8/4/2016
d	1	225	SAEvm3	Volume	0.5 l/bit	-62.5 to 62.5 l	-62.5 l	1 byte	8/4/2016
d	2	376	SAEvm4	Volume	0.05 l/bit	0 to 210,554,060.75 l	0	4 bytes	8/4/2016
d	1	413	SAEvm5	Volume	0.5 m³/bit	0 to 2,105,540,607.5 m³	0	4 bytes	11/13/2014
d	3	76	SAEvr01	Velocity, rotational	0.125 rpm per bit	0 to 8,031.875 rpm	0	2 bytes	4/30/2014
d	1	78	SAEvr02	Velocity, rotational	0.5 rpm per bit	0 to 32,127.5 rpm	0	2 bytes	4/30/2014
int	u	77	SAEvr03	Velocity, rotational	4 rpm per bit	0 to 257,020 rpm	0	2 bytes	4/30/2014
int	u	79	SAEvr04	Velocity, rotational	10 rpm per bit	0 to 2,500 rpm	0	1 byte	4/30/2014
int	u	97	SAEvr05	Velocity, rotational	32 rpm per bit	0 to 8,000 rpm	0	1 byte	4/30/2014
int	u	223	SAEvr06	Velocity, rotational	1 rpm per bit	0 to 64,255 rpm	0	2 bytes	4/30/2014
int	d	378	SAEvr07	Velocity, rotational	1 rpm per bit	-32127 to 32128 rpm	-32127 rpm	2 bytes	4/30/2014
d	2	398	SAEvr08	Velocity, rotational	0.25 rpm per bit	-8031.75 to 8032 rpm	-8031.75 rpm	2 bytes	4/30/2014
int	u	427	SAEvrms01	Voltage rms	2 Vrms per bit	0 to 500 Vrms	0	1 byte	5/5/2016
d	5	442	SAEvrms02	Voltage rms	0.03125 Vrms/bit	0 to 2007.96875 Vrms	0	2 bytes	5/8/2017
